latitude,longitude,marker,Acc Y (g),Temp Data,HRot Count,Speed,Samples,Heading GPS (dg),Speed GPS,Accuracy GPS,Altitude GPS,RSSI dBm,HH:mm:ss,SSS
,,4,-0.865,0,0,-2,0,,,,,-66,16:12:25,360
,,3,-0.829,0,0,-1,1,,,,,,,
,,3,-1.041,0,0,0,2,,,,,,,
,,3,-0.733,0,0,0,3,,,,,,,
,,3,-1.14,0,0,0,4,,,,,,,
,,3,-0.858,0,0,0,5,,,,,,,
,,3,-1.069,0,0,0,6,,,,,,,
,,3,-1.335,0,0,0,7,,,,,,,
,,3,-0.444,0,0,0,8,,,,,,,
,,3,-0.846,0,0,0,9,,,,,,,
,,3,-0.521,0,0,0,10,,,,,-66,16:12:25,570
,,3,-0.656,0,0,0,11,,,,,,,
,,3,-0.409,0,0,0,12,,,,,,,
,,3,0.05,0,0,0,13,,,,,,,
,,3,-0.021,0,0,0,14,,,,,,,
,,3,0.341,0,0,0,15,,,,,,,
,,3,0.479,0,0,0,16,,,,,,,
,,3,0.522,0,0,0,17,,,,,,,
,,3,0.612,0,0,0,18,,,,,,,
,,3,0.748,0,0,0,19,,,,,,,
,,3,1.021,0,0,0,20,,,,,-66,16:12:25,781
,,3,1.099,0,1,0,21,,,,,,,
,,3,0.689,0,1,0,22,,,,,,,
,,3,0.778,0,1,0,23,,,,,,,
,,3,1.057,0,1,0,24,,,,,,,
,,3,1.084,0,1,0,25,,,,,,,
,,3,0.89,0,1,0,26,,,,,,,
,,3,0.537,0,1,0,27,,,,,,,
,,3,0.433,0,1,0,28,,,,,,,
,,3,0.42,0,1,0,29,,,,,,,
,,3,0.24,0,1,0,30,,,,,-66,16:12:25,960
,,3,0.061,0,1,0,31,,,,,,,
,,3,-0.115,0,1,0,32,,,,,,,
,,3,-0.261,0,1,0,33,,,,,,,
,,3,-0.447,0,1,0,34,,,,,,,
,,3,-0.661,0,1,0,35,,,,,,,
,,6,-0.759,0,2,-1,36,,,,,,,
,,3,-0.742,0,2,-1,37,,,,,,,
,,3,-1.005,0,2,-1,38,,,,,,,
,,3,-1.188,0,2,-1,39,,,,,,,
,,3,-0.879,0,2,-1,40,,,,,-66,16:12:26,170
,,3,-0.982,0,2,-1,41,,,,,,,
,,3,-0.854,0,2,-1,42,,,,,,,
,,3,-1.245,0,2,-1,43,,,,,,,
,,3,-0.694,0,2,-1,44,,,,,,,
,,3,-0.766,0,2,-1,45,,,,,,,
,,3,-0.582,0,2,-1,46,,,,,,,
,,3,-0.064,0,2,-1,47,,,,,,,
,,3,-0.37,0,2,-1,48,,,,,,,
,,3,0.352,0,2,-1,49,,,,,,,
,,3,0.317,0,2,-1,50,,,,,-66,16:12:26,381
,,3,0.57,0,2,-1,51,,,,,,,
,,3,0.778,0,2,-1,52,,,,,,,
,,6,0.658,0,3,-1,53,,,,,,,
,,3,0.723,0,3,-1,54,,,,,,,
,,3,0.905,0,3,-1,55,,,,,,,
,,3,0.99,0,3,-1,56,,,,,,,
,,3,1.111,0,3,-1,57,,,,,,,
,,3,0.811,0,3,-1,58,,,,,,,
,,3,0.566,0,3,-1,59,,,,,,,
,,3,0.561,0,3,-1,60,,,,,-66,16:12:26,560
,,3,0.794,0,3,-1,61,,,,,,,
,,3,0.78,0,3,-1,62,,,,,,,
,,3,0.434,0,3,-1,63,,,,,,,
,,3,0.293,0,3,-1,64,,,,,,,
,,3,0.034,0,3,-1,65,,,,,,,
,,3,-0.219,0,3,-1,66,,,,,,,
,,3,-0.329,0,3,-1,67,,,,,,,
,,3,-0.321,0,3,-1,68,,,,,,,
,,3,-0.331,0,3,-1,69,,,,,,,
,,3,-0.683,0,3,-1,70,,,,,-66,16:12:26,768
,,6,-1.184,0,4,-1,71,,,,,,,
,,3,-1.213,0,4,-1,72,,,,,,,
